,LO1,LA1,EL1,LO1,LA1,EL1,VISIBLE
179,84.1,27.8,835.0829468,83.5,28.7,7631.313477,5737.945749
180,83.2,28.2,1593.834717,83.5,28.7,7631.313477,5727.008721
181,82.6,27.6,123.8289185,83.5,28.7,7631.313477,5720.287048
182,86.5,27.1,729.5213623,87.1,27.9,7346.435547,5720.033272
183,87.1,26.9,656.444397,87.1,27.9,7346.435547,5718.538288
184,87,27.4,1381.838501,87.1,27.9,7346.435547,5714.106794
185,86.2,27,226.2755585,87.1,27.9,7346.435547,5713.657332
186,83,27.4,90.55535889,83.5,28.7,7631.313477,5709.817916
187,84,27.7,765.3745117,83.5,28.7,7631.313477,5705.818351
188,82.4,28.1,668.1819458,83.5,28.7,7631.313477,5703.835845
189,87.4,26.7,178.1261597,87.1,27.9,7346.435547,5700.402005
190,86.5,26.8,195.2527466,87.1,27.9,7346.435547,5699.852258
191,87.1,27.3,1304.478394,87.1,27.9,7346.435547,5692.228441
192,86.7,27.2,1059.510254,87.1,27.9,7346.435547,5688.729168
193,82.5,27.9,568.4533081,83.5,28.7,7631.313477,5688.001082
194,84.1,28.3,1519.32605,83.5,28.7,7631.313477,5686.434585
195,82.3,27.9,244.1370697,83.5,28.7,7631.313477,5680.96728
196,86.1,27.5,757.4044189,87.1,27.9,7346.435547,5672.064007
197,82.8,28.3,1436.290283,83.5,28.7,7631.313477,5671.931797
198,84.5,27.7,236.9353027,83.5,28.7,7631.313477,5668.398833
199,86.8,26.7,215.2222748,87.1,27.9,7346.435547,5663.30589
200,87.4,27.6,1528.416504,87.1,27.9,7346.435547,5662.109238
201,84.4,27.9,741.7625122,83.5,28.7,7631.313477,5657.777139
202,86.6,26.8,323.0001526,87.1,27.9,7346.435547,5656.400631
203,82.4,28,588.8363647,83.5,28.7,7631.313477,5656.04019
204,84.4,27.6,188.175827,83.5,28.7,7631.313477,5655.94014
205,87.2,26.9,712.0184326,87.1,27.9,7346.435547,5655.307651
206,87,27.2,1208.021973,87.1,27.9,7346.435547,5654.759351
207,83.8,27.6,733.418335,83.5,28.7,7631.313477,5654.423779
208,83.3,27.8,1160.855103,83.5,28.7,7631.313477,5653.390257
209,82.7,27.5,102.9767914,83.5,28.7,7631.313477,5645.642131
210,82.6,28.1,1038.694702,83.5,28.7,7631.313477,5633.99504
211,83.1,28.1,1529.968628,83.5,28.7,7631.313477,5631.326057
212,83.5,27.3,97.32059479,83.5,28.7,7631.313477,5629.906633
213,83.4,27.3,93.5904007,83.5,28.7,7631.313477,5626.064337
